c1,c2,c3,c5,c6,c9,c11,c12,c14,c16,c17
1.0,5.0,3.9133333333333336,none,40.0,2.0,11.0,average,half,full,good
2.0,4.5,5.8,none,35.0,4.583333333333333,11.0,below average,full,full,good
2.1025641025641026,3.62051282051282,3.9133333333333336,none,38.0,5.0,11.0,generous,half,half,good
3.0,3.7,4.0,tc,37.810810810810814,4.583333333333333,11.105263157894736,below average,half,full,good
3.0,4.5,4.5,none,40.0,4.583333333333333,12.0,average,half,half,good
2.0,2.0,2.5,none,35.0,6.0,12.0,average,half,full,good
3.0,4.0,5.0,tc,37.810810810810814,4.583333333333333,12.0,generous,none,half,good
3.0,6.9,4.8,none,40.0,3.0,12.0,below average,half,full,good
2.0,3.0,7.0,none,38.0,25.0,11.0,below average,half,full,good
1.0,5.7,3.9133333333333336,none,40.0,4.0,11.0,generous,full,full,good
3.0,3.5,4.0,none,36.0,3.0,13.0,generous,half,full,good
2.0,6.4,6.4,none,38.0,4.0,15.0,below average,full,full,good
2.0,3.5,4.0,none,40.0,2.0,10.0,below average,half,half,bad
3.0,3.5,4.0,tcf,37.0,4.0,13.0,generous,full,full,good
1.0,3.0,3.9133333333333336,none,36.0,10.0,11.0,generous,half,full,good
2.0,4.5,4.0,none,37.0,4.583333333333333,11.0,average,full,full,good
1.0,2.8,3.9133333333333336,none,35.0,2.0,12.0,below average,half,full,good
1.0,2.1,3.9133333333333336,tc,40.0,3.0,9.0,below average,half,none,bad
1.0,2.0,3.9133333333333336,none,38.0,4.583333333333333,11.0,average,none,none,bad
2.0,4.0,5.0,tcf,35.0,5.0,15.0,generous,half,full,good
2.0,4.3,4.4,none,38.0,4.0,12.0,generous,full,full,good
2.0,2.5,3.0,none,40.0,4.583333333333333,11.0,below average,half,full,bad
3.0,3.5,4.0,tcf,27.0,4.583333333333333,11.105263157894736,below average,half,full,good
2.0,4.5,4.0,none,40.0,4.0,10.0,generous,half,full,good
1.0,6.0,3.9133333333333336,none,38.0,3.0,9.0,generous,half,full,good
3.0,2.0,2.0,none,40.0,4.583333333333333,10.0,below average,half,full,bad
2.0,4.5,4.5,tcf,37.810810810810814,4.583333333333333,10.0,below average,none,half,good
2.0,3.0,3.0,none,33.0,4.583333333333333,12.0,generous,half,full,good
2.0,5.0,4.0,none,37.0,5.0,11.0,below average,full,full,good
3.0,2.0,2.5,none,35.0,4.583333333333333,10.0,average,half,full,bad
3.0,4.5,4.5,none,40.0,4.583333333333333,11.0,average,half,full,good
3.0,3.0,2.0,tc,40.0,5.0,10.0,below average,half,full,bad
2.0,2.5,2.5,none,38.0,4.583333333333333,10.0,average,half,full,bad
2.0,4.0,5.0,none,40.0,3.0,10.0,below average,none,none,bad
3.0,2.0,2.5,tc,40.0,1.0,10.0,below average,half,full,bad
2.0,2.0,2.0,none,40.0,4.583333333333333,11.0,average,none,full,bad
1.0,2.0,3.9133333333333336,tc,40.0,0.0,11.0,generous,none,none,bad
1.0,2.8,3.9133333333333336,none,38.0,3.0,9.0,below average,half,none,bad
3.0,2.0,2.5,none,37.0,4.583333333333333,10.0,average,half,none,bad
2.0,4.5,4.0,none,40.0,4.0,12.0,average,full,half,good
